web-scraper-order,web-scraper-start-url,img-src,name,Socket,form factor,memory max,memory slots,color,price,link,link-href,rating
"1672961647-195","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/70392ffdd327f8c69ec493d66a257742.256p.jpg","MSI PRO Z790-P WIFI","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack / Silver","323.90","MSI PRO Z790-P WIFI         (0)","https://es.pcpartpicker.com/product/k7mmP6/msi-pro-z790-p-wifi-atx-lga1700-motherboard-pro-z790-p-wifi","null"
"1672961649-196","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/e8b48536a1a38fabf3d0ae6e2a8c7773.256p.jpg","Asus PRIME X299-A","Socket / CPULGA2066","Form FactorATX","128","8","ColorBlack / Silver","322.30","Asus PRIME X299-A         (1)","https://es.pcpartpicker.com/product/hyhj4D/asus-prime-x299-a-atx-lga2066-motherboard-prime-x299-a","(1 Rating, 5.0 Average)"
"1672961651-197","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/b950287e2f141caa4638fc93dc99a6ba.256p.jpg","Asus ROG STRIX B650E-F GAMING WIFI","Socket / CPUAM5","Form FactorATX","128","4","ColorBlack","320.16","Asus ROG STRIX B650E-F GAMING WIFI         (0)","https://es.pcpartpicker.com/product/s8nypg/asus-rog-strix-b650e-f-gaming-wifi-atx-am5-motherboard-rog-strix-b650e-f-gaming-wifi","null"
"1672961653-198","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/5908ccb20bcf4d4f03ba62b82cbadc27.256p.jpg","NZXT N7 B550","Socket / CPUAM4","Form FactorATX","128","4","ColorWhite / Black","319.94","NZXT N7 B550         (10)","https://es.pcpartpicker.com/product/KnLFf7/nzxt-n7-b550-atx-am4-motherboard-n7-b55xt-w1","(10 Ratings, 4.8 Average)"
"1672961656-199","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/21874513b1f1355721b9f82ebc72e2bf.256p.jpg","Asus Strix B550-XE Gaming WiFi","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack","319.88","Asus Strix B550-XE Gaming WiFi         (3)","https://es.pcpartpicker.com/product/zfMTwP/asus-strix-b550-xe-gaming-wifi-atx-am4-motherboard-strix-b550-xe-gaming-wifi","(3 Ratings, 4.3 Average)"
"1672961658-200","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=6","//cdna.pcpartpicker.com/static/forever/images/product/57474efa65b30513d07f280b54c4c1c6.256p.jpg","MSI PRO Z790-A WIFI DDR4","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack / Silver","319.79","MSI PRO Z790-A WIFI DDR4         (0)","https://es.pcpartpicker.com/product/xNKKHx/msi-pro-z790-a-wifi-ddr4-atx-lga1700-motherboard-pro-z790-a-wifi-ddr4","null"
"1672961664-201","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","https://m.media-amazon.com/images/I/519+E97-55L.jpg","Asus ROG STRIX Z690-A GAMING WIFI D4","Socket / CPULGA1700","Form FactorATX","128","4","ColorSilver / Black","319.10","Asus ROG STRIX Z690-A GAMING WIFI D4         (21)","https://es.pcpartpicker.com/product/G4Gbt6/asus-rog-strix-z690-a-gaming-wifi-d4-atx-lga1700-motherboard-rog-strix-z690-a-gaming-wifi-d4","(21 Ratings, 4.8 Average)"
"1672961666-202","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/f297e0c6c4d4721c02cf4d51f53674aa.256p.jpg","Gigabyte B550M DS3H AC","Socket / CPUAM4","Form FactorMicro ATX","128","4","ColorBlack","317.99","Gigabyte B550M DS3H AC         (0)","https://es.pcpartpicker.com/product/RHWzK8/gigabyte-b550m-ds3h-ac-micro-atx-am4-motherboard-b550m-ds3h-ac","null"
"1672961669-203","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/26c7bbab7b32ae78c245e9fc475a1a7a.256p.jpg","Asus ROG STRIX Z590-A GAMING WIFI","Socket / CPULGA1200","Form FactorATX","128","4","ColorSilver / Black","317.45","Asus ROG STRIX Z590-A GAMING WIFI         (5)","https://es.pcpartpicker.com/product/pjcG3C/asus-rog-strix-z590-a-gaming-wifi-atx-lga1200-motherboard-rog-strix-z590-a-gaming-wifi","(5 Ratings, 4.4 Average)"
"1672961671-204","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/0a9cc0cdde3a83295545ae04856c18ee.256p.jpg","ASRock Z790 PRO RS WIFI","Socket / CPULGA1700","Form FactorATX","128","4","ColorSilver / Black","317.02","ASRock Z790 PRO RS WIFI         (0)","https://es.pcpartpicker.com/product/mPt9TW/asrock-z790-pro-rs-wifi-atx-lga1700-motherboard-z790-pro-rs-wifi","null"
"1672961673-205","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/4b64346ef710dff8dd8aff4bf2077131.256p.jpg","ASRock B650E STEEL LEGEND WIFI","Socket / CPUAM5","Form FactorATX","128","4","ColorBlack / Silver","315.70","ASRock B650E STEEL LEGEND WIFI         (0)","https://es.pcpartpicker.com/product/YQt9TW/asrock-b650e-steel-legend-wifi-atx-am5-motherboard-b650e-steel-legend-wifi","null"
