web-scraper-order,web-scraper-start-url,img-src,name,Socket,form factor,memory max,memory slots,color,price,link,link-href,rating
"1672961932-316","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/25ead824415ac2249f922cb93e17e2ec.256p.jpg","Gigabyte Z690 GAMING X","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack / Gray","241.96","Gigabyte Z690 GAMING X         (0)","https://es.pcpartpicker.com/product/9WjBD3/gigabyte-z690-gaming-x-atx-lga1700-motherboard-z690-gaming-x","null"
"1672961934-317","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/c96321a1e039a1f7fd1bc917c5ae72b7.256p.jpg","Asus TUF GAMING X570-PLUS","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack / Gold","240.62","Asus TUF GAMING X570-PLUS         (23)","https://es.pcpartpicker.com/product/whMTwP/asus-tuf-gaming-x570-plus-atx-am4-motherboard-tuf-gaming-x570-plus","(23 Ratings, 4.4 Average)"
"1672961936-318","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/c3e7261c03da9b3cf339aae6831da16d.256p.jpg","NZXT N5 Z690","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack / White","239.99","NZXT N5 Z690         (0)","https://es.pcpartpicker.com/product/s6zhP6/nzxt-n5-z690-atx-lga1700-motherboard-n5-z69xt-w1","null"
"1672961938-319","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/0a0d445016cd5e1793cc61a065587670.256p.jpg","NZXT N5 Z690","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack","239.99","NZXT N5 Z690         (1)","https://es.pcpartpicker.com/product/yDH7YJ/nzxt-n5-z690-atx-lga1700-motherboard-n5-z69xt-b1","(1 Rating, 5.0 Average)"
"1672961941-320","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/9f2f42feda76208965cf313f5d2ff6ff.256p.jpg","ASRock Z690 PG Riptide","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack / Silver","239.67","ASRock Z690 PG Riptide         (1)","https://es.pcpartpicker.com/product/kYwypg/asrock-z690-pg-riptide-atx-lga1700-motherboard-z690-pg-riptide","(1 Rating, 5.0 Average)"
"1672961943-321","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/b007391b85dd4c48aae3d0cd21458138.256p.jpg","Gigabyte Z590 AORUS ULTRA","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack","239.00","Gigabyte Z590 AORUS ULTRA         (2)","https://es.pcpartpicker.com/product/bvnypg/gigabyte-z590-aorus-ultra-atx-lga1200-motherboard-z590-aorus-ultra","(2 Ratings, 5.0 Average)"
"1672961945-322","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/7bcba10be67cafc5a4686ec15319461a.256p.jpg","Gigabyte Z590 VISION D","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack / White","239.00","Gigabyte Z590 VISION D         (2)","https://es.pcpartpicker.com/product/LkddnQ/gigabyte-z590-vision-d-atx-lga1200-motherboard-z590-vision-d","(2 Ratings, 5.0 Average)"
"1672961948-323","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/b5a26e85c9dd9054f055da70b8ae00cc.256p.jpg","MSI PRO Z690-A","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack / Silver","238.99","MSI PRO Z690-A         (4)","https://es.pcpartpicker.com/product/qnwypg/msi-pro-z690-a-atx-lga1700-motherboard-pro-z690-a","(4 Ratings, 5.0 Average)"
"1672961950-324","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/d2ac9cad67e113797bd01879b3e893dd.256p.jpg","Gigabyte Z690M AORUS ELITE AX DDR4","Socket / CPULGA1700","Form FactorMicro ATX","128","4","ColorBlack","238.96","Gigabyte Z690M AORUS ELITE AX DDR4         (0)","https://es.pcpartpicker.com/product/3FpzK8/gigabyte-z690m-aorus-elite-ax-ddr4-micro-atx-lga1700-motherboard-z690m-aorus-elite-ax-ddr4","null"
"1672961952-325","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/8ce406d6c564d26dad9c5d31717ce8c2.256p.jpg","Asus PRIME B550M-A/CSM","Socket / CPUAM4","Form FactorMicro ATX","128","4","ColorBlack / White","238.93","Asus PRIME B550M-A/CSM         (3)","https://es.pcpartpicker.com/product/VpLwrH/asus-prime-b550m-acsm-micro-atx-am4-motherboard-prime-b550m-acsm","(3 Ratings, 4.7 Average)"
"1672961955-326","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","https://m.media-amazon.com/images/I/61KAc2uql2L.jpg","MSI MAG B460M MORTAR WIFI","Socket / CPULGA1200","Form FactorMicro ATX","128","4","ColorSilver / Black","238.70","MSI MAG B460M MORTAR WIFI         (4)","https://es.pcpartpicker.com/product/hR3mP6/msi-mag-b460m-mortar-wifi-micro-atx-lga1200-motherboard-mag-b460m-mortar-wifi","(4 Ratings, 5.0 Average)"
"1672961957-327","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/2effb4f06a5ebded337afc05a0a164bf.256p.jpg","Asus ROG STRIX B660-A GAMING WIFI D4","Socket / CPULGA1700","Form FactorATX","128","4","ColorSilver / Black","238.55","Asus ROG STRIX B660-A GAMING WIFI D4         (8)","https://es.pcpartpicker.com/product/TVRYcf/asus-rog-strix-b660-a-gaming-wifi-d4-atx-lga1700-motherboard-rog-strix-b660-a-gaming-wifi-d4","(8 Ratings, 4.4 Average)"
"1672961959-328","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/cab701421ba984a3d3e69e6781624d1d.256p.jpg","MSI MPG B550 GAMING CARBON WIFI","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack / Silver","238.25","MSI MPG B550 GAMING CARBON WIFI         (26)","https://es.pcpartpicker.com/product/FyBhP6/msi-mpg-b550-gaming-carbon-wifi-atx-am4-motherboard-mpg-b550-gaming-carbon-wifi","(26 Ratings, 4.5 Average)"
"1672961962-329","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/f120a9ca93071286c32581ba783199f2.256p.jpg","Asus TUF GAMING H670-PRO WIFI D4","Socket / CPULGA1700","Form FactorATX","128","4","ColorGray / Black","237.10","Asus TUF GAMING H670-PRO WIFI D4         (1)","https://es.pcpartpicker.com/product/vvC48d/asus-tuf-gaming-h670-pro-wifi-d4-atx-lga1700-motherboard-tuf-gaming-h670-pro-wifi-d4","(1 Rating, 4.0 Average)"
"1672961964-330","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/de942c6d466a800a933e934a6f805de2.256p.jpg","Gigabyte Z690 UD","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack","236.17","Gigabyte Z690 UD         (0)","https://es.pcpartpicker.com/product/8KxRsY/gigabyte-z690-ud-atx-lga1700-motherboard-z690-ud","null"
"1672961966-331","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/2fc4e6cbd108d11defb86e2298e675b8.256p.jpg","MSI PRO Z690-A DDR4","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack / Silver","235.80","MSI PRO Z690-A DDR4         (14)","https://es.pcpartpicker.com/product/GvmmP6/msi-pro-z690-a-ddr4-atx-lga1700-motherboard-pro-z690-a-ddr4","(14 Ratings, 4.1 Average)"
"1672961969-332","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/9207feb4cc1a3c90f02f0e4030403acf.256p.jpg","Asus TUF GAMING H570-PRO WIFI","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack / Silver","235.57","Asus TUF GAMING H570-PRO WIFI         (0)","https://es.pcpartpicker.com/product/KDxRsY/asus-tuf-gaming-h570-pro-wifi-atx-lga1200-motherboard-tuf-gaming-h570-pro-wifi","null"
"1672961971-333","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/28e8ce6b41464b892862574420f45b63.256p.jpg","MSI PRO B760-P WIFI DDR4","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack","234.72","MSI PRO B760-P WIFI DDR4         (0)","https://es.pcpartpicker.com/product/yMGbt6/msi-pro-b760-p-wifi-ddr4-atx-lga1700-motherboard-pro-b760-p-wifi-ddr4","null"
"1672961973-334","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","https://m.media-amazon.com/images/I/51jnctILCqL.jpg","ASRock B550 Phantom Gaming-ITX/ax","Socket / CPUAM4","Form FactorMini ITX","64","2","ColorSilver / Black","234.18","ASRock B550 Phantom Gaming-ITX/ax         (26)","https://es.pcpartpicker.com/product/ftdrxr/asrock-b550-phantom-gaming-itxax-mini-itx-am4-motherboard-b550-phantom-gaming-itxax","(26 Ratings, 4.4 Average)"
"1672961975-335","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/194e14cf897c9728b8a9e85d0bd85a1b.256p.jpg","MSI MPG Z490 GAMING EDGE WIFI","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack / Silver","233.60","MSI MPG Z490 GAMING EDGE WIFI         (38)","https://es.pcpartpicker.com/product/ZJ2bt6/msi-mpg-z490-gaming-edge-wifi-atx-lga1200-motherboard-mpg-z490-gaming-edge-wifi","(38 Ratings, 4.5 Average)"
"1672961978-336","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/40037fa5f1c2c2b92273f1a5547ed181.256p.jpg","Gigabyte B650 GAMING X AX","Socket / CPUAM5","Form FactorATX","128","4","ColorBlack / Gray","232.96","Gigabyte B650 GAMING X AX         (0)","https://es.pcpartpicker.com/product/YZgFf7/gigabyte-b650-gaming-x-ax-atx-am5-motherboard-b650-gaming-x-ax","null"
"1672961980-337","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/c772cded968687080b566c95f2bf4ebc.256p.jpg","Gigabyte B550 AORUS PRO","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack / Orange","232.80","Gigabyte B550 AORUS PRO         (10)","https://es.pcpartpicker.com/product/qXBhP6/gigabyte-b550-aorus-pro-atx-am4-motherboard-b550-aorus-pro","(10 Ratings, 4.4 Average)"
"1672961982-338","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/9f5f88bb36bfd1faf68bc706b7268361.256p.jpg","ASRock X570S PG Riptide","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack","232.74","ASRock X570S PG Riptide         (0)","https://es.pcpartpicker.com/product/pVGbt6/asrock-x570s-pg-riptide-atx-am4-motherboard-x570s-pg-riptide","null"
"1672961985-339","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/2590da71233ad2c13ac7830cfa66de05.256p.jpg","Asus PRIME Z690-P WIFI","Socket / CPULGA1700","Form FactorATX","128","4","ColorSilver / Black","232.38","Asus PRIME Z690-P WIFI         (1)","https://es.pcpartpicker.com/product/Pq7G3C/asus-prime-z690-p-wifi-atx-lga1700-motherboard-prime-z690-p-wifi","(1 Rating, 4.0 Average)"
"1672961987-340","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/5a3f41360eef6999bd056610da62359a.256p.jpg","Asus Prime Z590-P WiFi","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack / Silver","231.71","Asus Prime Z590-P WiFi         (0)","https://es.pcpartpicker.com/product/PLytt6/asus-prime-z590-p-wifi-atx-lga1200-motherboard-prime-z590-p-wifi","null"
"1672961989-341","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/5ec1e021b7b748e876efae58e140ef4c.256p.jpg","ASRock Z690 Phantom Gaming 4/D5","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack / Silver","230.34","ASRock Z690 Phantom Gaming 4/D5         (0)","https://es.pcpartpicker.com/product/xwjBD3/asrock-z690-phantom-gaming-4d5-atx-lga1700-motherboard-z690-phantom-gaming-4d5","null"
"1672961992-342","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/e620945c5a6d2b798d7c52e3d29cfe6c.256p.jpg","ASRock B650 PG LIGHTNING","Socket / CPUAM5","Form FactorATX","128","4","ColorBlack","229.98","ASRock B650 PG LIGHTNING         (1)","https://es.pcpartpicker.com/product/jN3gXL/asrock-b650-pg-lightning-atx-am5-motherboard-b650-pg-lightning","(1 Rating, 4.0 Average)"
"1672961994-343","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/974f48fb1fd0b2032cb549076173f522.256p.jpg","ASRock X570 Steel Legend","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack / Silver","229.35","ASRock X570 Steel Legend         (22)","https://es.pcpartpicker.com/product/Ft6qqs/asrock-x570-steel-legend-atx-am4-motherboard-x570-steel-legend","(22 Ratings, 4.5 Average)"
"1672961996-344","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/760693fb090dd6499ee94a2edbcaf36f.256p.jpg","Gigabyte Z690 GAMING X DDR4","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack / Gray","228.32","Gigabyte Z690 GAMING X DDR4         (13)","https://es.pcpartpicker.com/product/q8XJ7P/gigabyte-z690-gaming-x-ddr4-atx-lga1700-motherboard-z690-gaming-x-ddr4","(13 Ratings, 4.4 Average)"
"1672961999-345","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","https://m.media-amazon.com/images/I/51u-jVijzZL.jpg","ASRock Z590 Steel Legend","Socket / CPULGA1200","Form FactorATX","128","4","ColorSilver / Black","228.07","ASRock Z590 Steel Legend         (0)","https://es.pcpartpicker.com/product/Xwwkcf/asrock-z590-steel-legend-atx-lga1200-motherboard-z590-steel-legend","null"
"1672962001-346","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/79cf41ff5ecacbe0e1003201d8c32fa0.256p.jpg","Asus TUF GAMING Z590-PLUS","Socket / CPULGA1200","Form FactorATX","128","4","ColorSilver / Black","227.99","Asus TUF GAMING Z590-PLUS         (1)","https://es.pcpartpicker.com/product/v8KKHx/asus-tuf-gaming-z590-plus-atx-lga1200-motherboard-tuf-gaming-z590-plus","(1 Rating, 5.0 Average)"
"1672962003-347","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/7d154252a6076bf1d471f115fac9529b.256p.jpg","MSI MPG Z590 GAMING EDGE WIFI","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack","227.85","MSI MPG Z590 GAMING EDGE WIFI         (1)","https://es.pcpartpicker.com/product/qWD7YJ/msi-mpg-z590-gaming-edge-wifi-atx-lga1200-motherboard-mpg-z590-gaming-edge-wifi","(1 Rating, 5.0 Average)"
"1672962005-348","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/e8d958869556a64d75d9a86bfe38ae10.256p.jpg","MSI PRO B660M-A WIFI","Socket / CPULGA1700","Form FactorMicro ATX","128","4","ColorBlack / Silver","227.15","MSI PRO B660M-A WIFI         (0)","https://es.pcpartpicker.com/product/8mhFf7/msi-pro-b660m-a-wifi-micro-atx-lga1700-motherboard-pro-b660m-a-wifi","null"
"1672962008-349","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/860da34980fdb77e54e0d3e6bc5efc40.256p.jpg","ASRock Z370M-ITX/ac","Socket / CPULGA1151","Form FactorMini ITX","32","2","ColorBlack / Silver","225.06","ASRock Z370M-ITX/ac         (11)","https://es.pcpartpicker.com/product/7HYWGX/asrock-z370m-itxac-mini-itx-lga1151-motherboard-z370m-itxac","(11 Ratings, 4.7 Average)"
"1672962010-350","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/a722ba89b0ed73fa31dc610bac8b33e0.256p.jpg","Gigabyte B560M AORUS PRO","Socket / CPULGA1200","Form FactorMicro ATX","128","4","ColorBlack","224.90","Gigabyte B560M AORUS PRO         (2)","https://es.pcpartpicker.com/product/JxGbt6/gigabyte-b560m-aorus-pro-micro-atx-lga1200-motherboard-b560m-aorus-pro","(2 Ratings, 4.5 Average)"
"1672962012-351","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/06cdd23610e51eda1247f925af0840ba.256p.jpg","MSI MAG B660M MORTAR WIFI","Socket / CPULGA1700","Form FactorMicro ATX","128","4","ColorSilver / Black","224.90","MSI MAG B660M MORTAR WIFI         (0)","https://es.pcpartpicker.com/product/qPLFf7/msi-mag-b660m-mortar-wifi-micro-atx-lga1700-motherboard-mag-b660m-mortar-wifi","null"
"1672962020-352","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/3deabe7b14a53642a29d3ff57a04bafa.256p.jpg","MSI MPG X570 GAMING EDGE WIFI","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack / Silver","224.90","MSI MPG X570 GAMING EDGE WIFI         (86)","https://es.pcpartpicker.com/product/gwPgXL/msi-mpg-x570-gaming-edge-wifi-atx-am4-motherboard-mpg-x570-gaming-edge-wifi","(86 Ratings, 4.4 Average)"
"1672962022-353","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","https://images-eu.ssl-images-amazon.com/images/I/61-2pWUi57L.jpg","ASRock X570M Pro4","Socket / CPUAM4","Form FactorMicro ATX","128","4","ColorBlack / Silver","223.80","ASRock X570M Pro4         (15)","https://es.pcpartpicker.com/product/KZLwrH/asrock-x570m-pro4-micro-atx-am4-motherboard-x570m-pro4","(15 Ratings, 4.1 Average)"
"1672962024-354","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/c5f7ee28c940f48c5076de03dc4f4a3e.256p.jpg","MSI X570-A PRO","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack / Silver","223.80","MSI X570-A PRO         (24)","https://es.pcpartpicker.com/product/QZLwrH/msi-x570-a-pro-atx-am4-motherboard-x570-a-pro","(24 Ratings, 4.3 Average)"
"1672962027-355","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/fe72189a9e2059607c90035cbb663593.256p.jpg","Asus PRIME A520M-A/CSM","Socket / CPUAM4","Form FactorMicro ATX","128","4","ColorBlack / Silver","223.17","Asus PRIME A520M-A/CSM         (0)","https://es.pcpartpicker.com/product/xngQzy/asus-prime-a520m-acsm-micro-atx-am4-motherboard-prime-a520m-acsm","null"
"1672962029-356","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/0353b298313e3922909d14b2e75dc647.256p.jpg","Gigabyte B650M GAMING X AX","Socket / CPUAM5","Form FactorMicro ATX","128","4","ColorBlack","222.70","Gigabyte B650M GAMING X AX         (0)","https://es.pcpartpicker.com/product/6fYmP6/gigabyte-b650m-gaming-x-ax-micro-atx-am5-motherboard-b650m-gaming-x-ax","null"
"1672962031-357","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/383a970abc71794caed4efbd404b76b8.256p.jpg","ASRock H470 Phantom Gaming 4","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack / Gray","222.00","ASRock H470 Phantom Gaming 4         (0)","https://es.pcpartpicker.com/product/YwZzK8/asrock-h470-phantom-gaming-4-atx-lga1200-motherboard-h470-phantom-gaming-4","null"
"1672962034-358","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/24cc66652169bc811f7a8e3cd5a0c5c2.256p.jpg","ASRock Z490 Pro4","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack / Silver","221.28","ASRock Z490 Pro4         (2)","https://es.pcpartpicker.com/product/h3MTwP/asrock-z490-pro4-atx-lga1200-motherboard-z490-pro4","(2 Ratings, 2.5 Average)"
"1672962036-359","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","https://m.media-amazon.com/images/I/51wxYWXoUtL.jpg","ASRock X570 Phantom Gaming 4","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack / Silver","221.18","ASRock X570 Phantom Gaming 4         (24)","https://es.pcpartpicker.com/product/RJxbt6/asrock-x570-phantom-gaming-4-atx-am4-motherboard-x570-phantom-gaming-4","(24 Ratings, 4.4 Average)"
"1672962038-360","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/c13865b8196dc87754c9108ec979b117.256p.jpg","Biostar Z590GTA","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlue / Black","220.01","Biostar Z590GTA         (0)","https://es.pcpartpicker.com/product/xWD7YJ/biostar-z590gta-atx-lga1200-motherboard-z590gta","null"
"1672962040-361","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/a9f2e436ad712c8dd1ae9cd71674b6ff.256p.jpg","Asus ROG STRIX B660-G GAMING WIFI","Socket / CPULGA1700","Form FactorMicro ATX","128","4","ColorBlack","219.99","Asus ROG STRIX B660-G GAMING WIFI         (0)","https://es.pcpartpicker.com/product/pt2WGX/asus-rog-strix-b660-g-gaming-wifi-micro-atx-lga1700-motherboard-rog-strix-b660-g-gaming-wifi","null"
"1672962043-362","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/0f24e5ab95cefd570be21ea3c84d6aa2.256p.jpg","Asus PRIME Z690-P","Socket / CPULGA1700","Form FactorATX","128","4","ColorSilver / Black","219.99","Asus PRIME Z690-P         (1)","https://es.pcpartpicker.com/product/dQBG3C/asus-prime-z690-p-atx-lga1700-motherboard-prime-z690-p","(1 Rating, 5.0 Average)"
"1672962045-363","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","https://m.media-amazon.com/images/I/519cN-VIuxL.jpg","ASRock B550 Steel Legend","Socket / CPUAM4","Form FactorATX","128","4","ColorSilver / Black","218.99","ASRock B550 Steel Legend         (11)","https://es.pcpartpicker.com/product/BYBhP6/asrock-b550-steel-legend-atx-am4-motherboard-b550-steel-legend","(11 Ratings, 4.6 Average)"
"1672962047-364","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/75e744946902a18df556c10f40ccbb35.256p.jpg","ASRock X570 Pro4","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack / Silver","218.77","ASRock X570 Pro4         (4)","https://es.pcpartpicker.com/product/qkLwrH/asrock-x570-pro4-atx-am4-motherboard-x570-pro4","(4 Ratings, 4.2 Average)"
"1672962050-365","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/c3545792661554848a989b2494de3de0.256p.jpg","ASRock B560M Pro4/ac","Socket / CPULGA1200","Form FactorMicro ATX","128","4","ColorSilver / Black","218.47","ASRock B560M Pro4/ac         (8)","https://es.pcpartpicker.com/product/3CbTwP/asrock-b560m-pro4ac-micro-atx-lga1200-motherboard-b560m-pro4ac","(8 Ratings, 4.6 Average)"
"1672962052-366","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/ca0f9a6ddff8347ea4fbf29af0b4a9c0.256p.jpg","ASRock Z690 Pro RS","Socket / CPULGA1700","Form FactorATX","128","4","ColorSilver / Black","218.40","ASRock Z690 Pro RS         (0)","https://es.pcpartpicker.com/product/3pNxFT/asrock-z690-pro-rs-atx-lga1700-motherboard-z690-pro-rs","null"
"1672962054-367","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/062e34f166539c107cc15326fcc2f97e.256p.jpg","MSI PRO Z690-P DDR4","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack / Silver","218.03","MSI PRO Z690-P DDR4         (1)","https://es.pcpartpicker.com/product/nGRYcf/msi-pro-z690-p-ddr4-atx-lga1700-motherboard-pro-z690-p-ddr4","(1 Rating, 5.0 Average)"
"1672962057-368","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/a9ca60ab55682a35c7062ee1ceeee799.256p.jpg","Asus ROG STRIX B660-I GAMING WIFI","Socket / CPULGA1700","Form FactorMini ITX","64","2","ColorBlack / Silver","216.74","Asus ROG STRIX B660-I GAMING WIFI         (8)","https://es.pcpartpicker.com/product/B7gFf7/asus-rog-strix-b660-i-gaming-wifi-mini-itx-lga1700-motherboard-rog-strix-b660-i-gaming-wifi","(8 Ratings, 4.8 Average)"
"1672962059-369","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/a74655304314feef2a2f8ac2e8d9dd35.256p.jpg","Asus TUF GAMING Z490-PLUS (WI-FI)","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack","216.50","Asus TUF GAMING Z490-PLUS (WI-FI)         (4)","https://es.pcpartpicker.com/product/MVRgXL/asus-tuf-gaming-z490-plus-wi-fi-atx-lga1200-motherboard-tuf-gaming-z490-plus-wi-fi","(4 Ratings, 4.2 Average)"
"1672962061-370","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/1bdae554bff5a80f2f0cd380bc605cd7.256p.jpg","Asus ROG STRIX B560-F GAMING WIFI","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack / Silver","216.03","Asus ROG STRIX B560-F GAMING WIFI         (1)","https://es.pcpartpicker.com/product/j4NxFT/asus-rog-strix-b560-f-gaming-wifi-atx-lga1200-motherboard-rog-strix-b560-f-gaming-wifi","(1 Rating, 5.0 Average)"
"1672962064-371","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/92979c8799485abab31cc64ca7111ee9.256p.jpg","MSI MPG X570 GAMING PLUS","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack / Red","214.90","MSI MPG X570 GAMING PLUS         (31)","https://es.pcpartpicker.com/product/q4Dkcf/msi-mpg-x570-gaming-plus-atx-am4-motherboard-mpg-x570-gaming-plus","(31 Ratings, 4.4 Average)"
