web-scraper-order,web-scraper-start-url,img-src,name,speed,modules,price/GB,color,First Word Latency,CAS latency,price,link,link-href,rating
"1672969769-3535","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/3587531dd8f0596b6b4f385ddeba1f88.256p.jpg","Corsair Vengeance RGB 64 GB","SpeedDDR5-5600","Modules2 x 32GB","Price / GB€6.186","ColorBlack / Gray","First Word Latency14.286 ns","CAS Latency40","395.90","Corsair Vengeance RGB 64 GB         (0)","https://es.pcpartpicker.com/product/FVJgXL/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-5600-cl40-memory-cmh64gx5m2b5600z40k","null"
"1672969771-3536","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/7902c604d247c014506e242bfab61c55.256p.jpg","G.Skill Ripjaws S5 64 GB","SpeedDDR5-5600","Modules2 x 32GB","Price / GB€6.202","ColorWhite","First Word Latency10.714 ns","CAS Latency30","396.90","G.Skill Ripjaws S5 64 GB         (0)","https://es.pcpartpicker.com/product/ZpkWGX/gskill-ripjaws-s5-64-gb-2-x-32-gb-ddr5-5600-cl30-memory-f5-5600j3036d32gx2-rs5w","null"
"1672969773-3537","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/acf0ad7e41365a1d16a15dc7873e6b1b.256p.jpg","G.Skill Ripjaws S5 64 GB","SpeedDDR5-5600","Modules2 x 32GB","Price / GB€6.202","ColorBlack","First Word Latency10.714 ns","CAS Latency30","396.90","G.Skill Ripjaws S5 64 GB         (0)","https://es.pcpartpicker.com/product/XNwypg/gskill-ripjaws-s5-64-gb-2-x-32-gb-ddr5-5600-cl30-memory-f5-5600j3036d32gx2-rs5k","null"
"1672969775-3538","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/a96046580d1e01ec1fdc52cb43b98e2e.256p.jpg","Kingston Fury Renegade RGB 64 GB","SpeedDDR4-3600","Modules4 x 16GB","Price / GB€6.203","ColorBlack / Silver","First Word Latency8.889 ns","CAS Latency16","397.00","Kingston Fury Renegade RGB 64 GB         (0)","https://es.pcpartpicker.com/product/xPqPxr/kingston-fury-renegade-rgb-64-gb-4-x-16-gb-ddr4-3600-cl16-memory-kf436c16rb1ak464","null"
"1672969788-3539","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/fe414d3559a9bbb2e092ba5374f6e1ed.256p.jpg","Corsair Vengeance 64 GB","SpeedDDR5-6000","Modules2 x 32GB","Price / GB€6.280","ColorGray","First Word Latency13.333 ns","CAS Latency40","401.90","Corsair Vengeance 64 GB         (0)","https://es.pcpartpicker.com/product/P3VmP6/corsair-vengeance-64-gb-2-x-32-gb-ddr5-6000-cl40-memory-cmk64gx5m2b6000c40","null"
"1672969791-3540","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/58459c3be11d6c5a225a21d2ea8336ed.256p.jpg","G.Skill Trident Z Royal 16 GB","SpeedDDR4-5333","Modules2 x 8GB","Price / GB€25.156","ColorGold","First Word Latency8.251 ns","CAS Latency22","402.50","G.Skill Trident Z Royal 16 GB         (0)","https://es.pcpartpicker.com/product/rx3gXL/gskill-trident-z-royal-16-gb-2-x-8-gb-ddr4-5333-cl22-memory-f4-5333c22d-16gtrg","null"
"1672969793-3541","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/21e8212c672077fa3dda3e01ab620a15.256p.jpg","Kingston FURY Renegade 128 GB","SpeedDDR4-3600","Modules4 x 32GB","Price / GB€3.148","ColorBlack","First Word Latency10 ns","CAS Latency18","402.90","Kingston FURY Renegade 128 GB         (0)","https://es.pcpartpicker.com/product/Z9D7YJ/kingston-fury-renegade-128-gb-4-x-32-gb-ddr4-3600-cl18-memory-kf436c18rbk4128","null"
"1672969796-3542","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/6f230d4cbddb093b2e8b00510489a496.256p.jpg","G.Skill Trident Z Neo 64 GB","SpeedDDR4-3600","Modules2 x 32GB","Price / GB€6.312","ColorBlack / Silver","First Word Latency8.889 ns","CAS Latency16","403.96","G.Skill Trident Z Neo 64 GB         (2)","https://es.pcpartpicker.com/product/kJvqqs/gskill-trident-z-neo-64-gb-2-x-32-gb-ddr4-3600-cl16-memory-f4-3600c16d-64gtzn","(2 Ratings, 5.0 Average)"
"1672969798-3543","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/7669fcda2681029adff42b7d1a8c75b4.256p.jpg","G.Skill Trident Z Royal 32 GB","SpeedDDR4-3600","Modules4 x 8GB","Price / GB€12.625","ColorSilver","First Word Latency8.889 ns","CAS Latency16","403.99","G.Skill Trident Z Royal 32 GB         (0)","https://es.pcpartpicker.com/product/p8QfrH/gskill-trident-z-royal-32-gb-4-x-8-gb-ddr4-3600-memory-f4-3600c16q-32gtrsc","null"
"1672969800-3544","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/c41099bf6d1fd8c8dc985268ccc6bbed.256p.jpg","G.Skill Trident Z Royal 16 GB","SpeedDDR4-4000","Modules2 x 8GB","Price / GB€25.249","ColorGold","First Word Latency7.5 ns","CAS Latency15","403.99","G.Skill Trident Z Royal 16 GB         (0)","https://es.pcpartpicker.com/product/kX3mP6/gskill-trident-z-royal-16-gb-2-x-8-gb-ddr4-4000-memory-f4-4000c15d-16gtrg","null"
