web-scraper-order,web-scraper-start-url,img-src,name,capacity,price/GB,type,cache,form factor,interface,price,link,link-href,rating
"1673018224-1362","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/f0b81eeb99c2afdb1c9b4ee48fac9657.256p.jpg","Intel 670p","Capacity512 GB","Price / GB€0.135","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","68.94","Intel 670p         (0)","https://es.pcpartpicker.com/product/bm8bt6/intel-670p-512-gb-m2-2280-nvme-solid-state-drive-ssdpeknu512gzx1","null"
"1673018226-1363","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","https://m.media-amazon.com/images/I/31SnLDIjRQL.jpg","Western Digital Red SA500","Capacity500 GB","Price / GB€0.138","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 SATA","68.80","Western Digital Red SA500         (0)","https://es.pcpartpicker.com/product/gmCFf7/western-digital-red-sa500-500-gb-m2-2280-solid-state-drive-wds500g1r0b","null"
"1673018229-1364","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/16a874fab25ee5fce77a4c202648fb1c.256p.jpg","Patriot P210","Capacity1 TB","Price / GB€0.069","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","68.69","Patriot P210         (0)","https://es.pcpartpicker.com/product/KRDkcf/patriot-p210-1-tb-25-solid-state-drive-p210s1tb25","null"
"1673018231-1365","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/718d0ceaa54f776e4d125ec61e49dc57.256p.jpg","TEAMGROUP MP33 PRO","Capacity512 GB","Price / GB€0.133","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","68.34","TEAMGROUP MP33 PRO         (0)","https://es.pcpartpicker.com/product/PDtKHx/team-mp33-pro-512-gb-m2-2280-nvme-solid-state-drive-tm8fpd512g0c101","null"
"1673018233-1366","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/9533283915dc0f05e3367cf9acf0591e.256p.jpg","Western Digital Red","Capacity250 GB","Price / GB€0.273","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","68.31","Western Digital Red         (0)","https://es.pcpartpicker.com/product/mVLFf7/western-digital-wd-red-sn700-250-gb-m2-2280-nvme-solid-state-drive-wds250g1r0c","null"
"1673018236-1367","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","https://images-na.ssl-images-amazon.com/images/I/41iLV6Xp%2BzL.jpg","Samsung Spinpoint M7E","Capacity640 GB","Price / GB€0.106","Type5400 RPM","Cache8 MB","Form Factor2.5""","InterfaceSATA 3.0 Gb/s","68.00","Samsung Spinpoint M7E         (0)","https://es.pcpartpicker.com/product/W2DwrH/samsung-internal-hard-drive-hm641ji","null"
"1673018238-1368","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/355037feaf33a1921cc795f703e53329.256p.jpg","Western Digital RE","Capacity250 GB","Price / GB€0.272","Type7200 RPM","Cache64 MB","Form Factor3.5""","InterfaceSATA 6.0 Gb/s","68.00","Western Digital RE         (1)","https://es.pcpartpicker.com/product/49bp99/western-digital-internal-hard-drive-wd2503abyz","(1 Rating, 5.0 Average)"
"1673018240-1369","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","https://images-na.ssl-images-amazon.com/images/I/41RjoEEMhWL.jpg","Toshiba MK2561GSYN","Capacity250 GB","Price / GB€0.272","Type7200 RPM","Cache16 MB","Form Factor2.5""","InterfaceSATA 3.0 Gb/s","68.00","Toshiba MK2561GSYN         (0)","https://es.pcpartpicker.com/product/rvXfrH/toshiba-internal-hard-drive-mk2561gsyn","null"
"1673018242-1370","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","https://m.media-amazon.com/images/I/51u6d+hy8aL.jpg","Western Digital Caviar Blue","Capacity320 GB","Price / GB€0.212","Type7200 RPM","Cache16 MB","Form Factor3.5""","InterfaceSATA 6.0 Gb/s","68.00","Western Digital Caviar Blue         (13)","https://es.pcpartpicker.com/product/bvyFf7/western-digital-internal-hard-drive-wd3200aakx","(13 Ratings, 4.1 Average)"
"1673018245-1371","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/08105799a06f56c779261642b857dd7f.256p.jpg","Western Digital Black SN750 SE","Capacity250 GB","Price / GB€0.271","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 4.0 X4","67.80","Western Digital Black SN750 SE         (0)","https://es.pcpartpicker.com/product/JphFf7/western-digital-wd_black-sn750-se-250-gb-m2-2280-nvme-solid-state-drive-wds250g1b0e","null"
"1673018247-1372","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/cc5f5db1bb497ccb4b69ce4d4af615c0.256p.jpg","Patriot Burst Elite","Capacity960 GB","Price / GB€0.071","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","67.69","Patriot Burst Elite         (0)","https://es.pcpartpicker.com/product/ky8bt6/patriot-burst-elite-960-gb-25-solid-state-drive-pbe960gs25ssdr","null"
"1673018249-1373","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/8ab1c604c15e8823ed8d1ed6f043090a.256p.jpg","Western Digital Black","Capacity320 GB","Price / GB€0.211","Type7200 RPM","Cache32 MB","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","67.63","Western Digital Black         (0)","https://es.pcpartpicker.com/product/FzyxFT/western-digital-internal-hard-drive-wd3200lplx","null"
"1673018252-1374","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/6413cfdaa44f6b64814585e0964235de.256p.jpg","Toshiba MQ01ABF050M","Capacity500 GB","Price / GB€0.134","Type5400 RPM","Cache8 MB","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","67.09","Toshiba MQ01ABF050M         (0)","https://es.pcpartpicker.com/product/y2HRsY/toshiba-500-gb-25-5400rpm-internal-hard-drive-mq01abf050m","null"
"1673018254-1375","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","https://m.media-amazon.com/images/I/51EI9OmbbjL.jpg","Seagate BarraCuda","Capacity2 TB","Price / GB€0.034","Type7200 RPM","Cache64 MB","Form Factor3.5""","InterfaceSATA 6.0 Gb/s","67.00","Seagate BarraCuda         (342)","https://es.pcpartpicker.com/product/CbL7YJ/seagate-barracuda-2tb-35-7200rpm-internal-hard-drive-st2000dm006","(342 Ratings, 4.8 Average)"
"1673018256-1376","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=4","//cdna.pcpartpicker.com/static/forever/images/product/0e5b51f8c3260bb7e8841b5d1d0281f1.256p.jpg","Toshiba DT01ACA200","Capacity2 TB","Price / GB€0.033","Type7200 RPM","Cache64 MB","Form Factor3.5""","InterfaceSATA 6.0 Gb/s","66.98","Toshiba DT01ACA200         (51)","https://es.pcpartpicker.com/product/fpCwrH/toshiba-internal-hard-drive-dt01aca200","(51 Ratings, 4.4 Average)"
