img_src,name,type,efficiency,wattage_W,modular,color,price,link,rating_number,rating
https://m.media-amazon.com/images/I/51UyDWC5Y8L.jpg,EVGA 850 B5,ATX,80+ Bronze,850,Full,Black,254,https://es.pcpartpicker.com/product/ZCgQzy/evga-850-b5-850-w-80-bronze-certified-fully-modular-atx-power-supply-220-b5-0850-v1,8,4.4
https://m.media-amazon.com/images/I/51vGclsn+GL.jpg,Antec Signature,ATX,80+ Titanium,1000,Full,Black / Silver,259.54,https://es.pcpartpicker.com/product/dTqBD3/antec-signature-1000-w-80-titanium-certified-fully-modular-atx-power-supply-st1000,1,5
//cdna.pcpartpicker.com/static/forever/images/product/a15caa8216152ec9d5235cee607d2dc9.256p.jpg,Corsair HX1200 Platinum,ATX,80+ Platinum,1200,Full,,259.89,https://es.pcpartpicker.com/product/f7L7YJ/corsair-hx-platinum-1200w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020140-na,21,5
https://m.media-amazon.com/images/I/41g9q5ngQEL.jpg,SeaSonic PRIME Ultra Gold 750,ATX,80+ Gold,750,Full,Black,262,https://es.pcpartpicker.com/product/VfM323/seasonic-prime-ultra-gold-750w-80-gold-certified-fully-modular-atx-power-supply-ssr-750gd2,3,4.7
//cdna.pcpartpicker.com/static/forever/images/product/7eb5273ec88fa51b14edb4ccaf0f9119.256p.jpg,Silverstone SX1000-LPT,SFX,80+ Platinum,1000,Full,Black,262.51,https://es.pcpartpicker.com/product/PXCFf7/silverstone-sx1000-lpt-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-sst-sx1000-lpt,4,4.8
//cdna.pcpartpicker.com/static/forever/images/product/382627d6b0a36162931db13af716ef18.256p.jpg,SeaSonic FOCUS Plus 750 Gold,ATX,80+ Gold,750,Full,,273,https://es.pcpartpicker.com/product/64cMnQ/seasonic-focus-plus-gold-750w-80-gold-certified-fully-modular-atx-power-supply-ssr-750fx,70,4.9
//cdna.pcpartpicker.com/static/forever/images/product/f7a87b1e5994ff45d730053fc8e32065.256p.jpg,SeaSonic PRIME TX-750,ATX,80+ Titanium,750,Full,Black,273.98,https://es.pcpartpicker.com/product/Yp3mP6/seasonic-prime-tx-750-w-80-titanium-certified-fully-modular-atx-power-supply-prime-tx-750,2,5
https://m.media-amazon.com/images/I/41suN4vTHcL.jpg,Silverstone SX750-PT,SFX,80+ Platinum,750,Full,Black,283,https://es.pcpartpicker.com/product/3RLwrH/silverstone-sx-pt-750-w-80-platinum-certified-fully-modular-sfx-power-supply-sst-sx750-pt,1,5
//cdna.pcpartpicker.com/static/forever/images/product/4660cdb31f19516a32c5d2d7cbe8e213.256p.jpg,SeaSonic PRIME PX,ATX,80+ Platinum,1000,Full,Black / Silver,284.33,https://es.pcpartpicker.com/product/4GK2FT/seasonic-prime-px-1000-w-80-platinum-certified-fully-modular-atx-power-supply-prime-px-1000,1,4
//cdna.pcpartpicker.com/static/forever/images/product/f4ba2af40fa30a597244521a441515b5.256p.jpg,MSI A1000G PCIE5,ATX,80+ Gold,1000,Full,Black,284.89,https://es.pcpartpicker.com/product/ZDt9TW/msi-a1000g-pcie5-1000-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a1000g-pcie-5,2,5
