img_src,name,speed_type,speed_frecuency,modules,price/GB,color,first_word_latency_ns,CAS_latency,price,link,rating_number,rating
//cdna.pcpartpicker.com/static/forever/images/product/75a3a445573e1b0639567242a5e97758.256p.jpg,G.Skill Aegis 8 GB,DDR4,2400,2 x 4GB,4.09,Black / Red,12.5,15,32.72,https://es.pcpartpicker.com/product/TZwqqs/gskill-memory-f42400c15d8gis,3,4.7
//cdna.pcpartpicker.com/static/forever/images/product/cf39c33083fd13d09f0c9b115f96ff85.256p.jpg,Corsair Vengeance LPX 8 GB,DDR4,3200,1 x 8GB,4.1,Black / Yellow,10,16,32.8,https://es.pcpartpicker.com/product/xxsnTW/corsair-vengeance-lpx-8-gb-1-x-8-gb-ddr4-3200-memory-cmk8gx4m1e3200c16,2,5
//cdna.pcpartpicker.com/static/forever/images/product/9b6014a1b219eb2ba07ec3d12c0c639f.256p.jpg,Corsair Vengeance LPX 8 GB,DDR4,2666,1 x 8GB,4.105,Black / Yellow,12.003,16,32.84,https://es.pcpartpicker.com/product/dwhj4D/corsair-memory-cmk8gx4m1a2666c16,11,4.6
//cdna.pcpartpicker.com/static/forever/images/product/951c37599a96fae80a735310f0bd1954.256p.jpg,TEAMGROUP TED48G2400C1601 8 GB,DDR4,2400,1 x 8GB,4.112,,13.333,16,32.9,https://es.pcpartpicker.com/product/zHBTwP/team-8gb-1-x-8gb-ddr4-2400-memory-ted48g2400c1601,2,5
//cdna.pcpartpicker.com/static/forever/images/product/113c4e199932392c423d0381c73fa8dc.256p.jpg,Corsair ValueSelect 8 GB,DDR4,2666,1 x 8GB,4.121,Black / Yellow,13.503,18,32.97,https://es.pcpartpicker.com/product/w29tt6/corsair-valueselect-8-gb-1-x-8-gb-ddr4-2666-memory-cmv8gx4m1a2666c18,1,5
https://m.media-amazon.com/images/I/41yX7wxazeL.jpg,G.Skill Ripjaws 4 GB,DDR3,1333,1 x 4GB,8.252,Black / Red,13.503,9,33.01,https://es.pcpartpicker.com/product/F8g323/gskill-memory-f310666cl9s4gbrl,4,4.8
//cdna.pcpartpicker.com/static/forever/images/product/78ac5f8a5dd9b3a88f99ce33f06798a7.256p.jpg,G.Skill Aegis 8 GB,DDR4,2133,2 x 4GB,4.135,Black / Red,14.065,15,33.08,https://es.pcpartpicker.com/product/6NcMnQ/gskill-memory-f42133c15d8gis,3,4.7
//cdna.pcpartpicker.com/static/forever/images/product/e2ee87e6c88becda5779db3731174fa6.256p.jpg,Kingston KCP316NS8/4 4 GB,DDR3,1600,1 x 4GB,8.275,Black / Green,13.75,11,33.1,https://es.pcpartpicker.com/product/JH2rxr/kingston-memory-kcp316ns84,1,5
//cdna.pcpartpicker.com/static/forever/images/product/64b9200342c2a4d0a1b6b3828b98ae90.256p.jpg,Patriot Signature 4 GB,DDR3,1333,1 x 4GB,8.297,,13.503,9,33.19,https://es.pcpartpicker.com/product/NqGkcf/patriot-memory-psd34g133381,2,3
//cdna.pcpartpicker.com/static/forever/images/product/1ba2d483efdbc2ddd8bf85ff272f336b.256p.jpg,Corsair Vengeance LPX 8 GB,DDR4,2400,1 x 8GB,4.18,Black / Yellow,11.667,14,33.44,https://es.pcpartpicker.com/product/gnnG3C/corsair-memory-cmk8gx4m1a2400c14,8,4.8
