img_src,name,socket,size,memory_max_GB,memory_slots,color,price,link,rating_number,rating
https://m.media-amazon.com/images/I/51JyFicHtaL.jpg,ASRock B550 Taichi Razer Edition,AM4,ATX,128,4,Black / Silver,345.9,https://es.pcpartpicker.com/product/3qDkcf/asrock-b550-taichi-razer-edition-atx-am4-motherboard-b550-taichi-razer-edition,3,4.7
//cdna.pcpartpicker.com/static/forever/images/product/eab5fc15cc9e87e6fd34515796ab8bd0.256p.jpg,Asus ROG STRIX Z590-I GAMING WIFI,LGA1200,Mini ITX,64,2,Black,342.4,https://es.pcpartpicker.com/product/Hf8bt6/asus-rog-strix-z590-i-gaming-wifi-mini-itx-lga1200-motherboard-rog-strix-z590-i-gaming-wifi,5,4.8
//cdna.pcpartpicker.com/static/forever/images/product/3fae37f7a08636c4a4c203a47ef30bf3.256p.jpg,ASRock H570M-ITX/ac,LGA1200,Mini ITX,64,2,Silver / Black,341.51,https://es.pcpartpicker.com/product/J7WzK8/asrock-h570m-itxac-mini-itx-lga1200-motherboard-h570m-itxac,2,4.5
//cdna.pcpartpicker.com/static/forever/images/product/3c80a7748098d6f9e23edf27f2d824e2.256p.jpg,ASRock B550 Taichi,AM4,ATX,128,4,Gold / Black,335.88,https://es.pcpartpicker.com/product/jKLwrH/asrock-b550-taichi-atx-am4-motherboard-b550-taichi,4,4.2
//cdna.pcpartpicker.com/static/forever/images/product/b06a90d7ec5a485121a21751cdc3d9b9.256p.jpg,Asus PRIME X570-PRO,AM4,ATX,128,4,Black / White,333.01,https://es.pcpartpicker.com/product/DxrYcf/asus-prime-x570-pro-atx-am4-motherboard-prime-x570-pro,52,4.5
//cdna.pcpartpicker.com/static/forever/images/product/dba3458db505e33cff64c70961c85e68.256p.jpg,Gigabyte Z690 AERO G,LGA1700,ATX,128,4,Black / Silver,330.35,https://es.pcpartpicker.com/product/P6PQzy/gigabyte-z690-aero-g-atx-lga1700-motherboard-z690-aero-g,2,5
//cdna.pcpartpicker.com/static/forever/images/product/21874513b1f1355721b9f82ebc72e2bf.256p.jpg,Asus Strix B550-XE Gaming WiFi,AM4,ATX,128,4,Black,319.88,https://es.pcpartpicker.com/product/zfMTwP/asus-strix-b550-xe-gaming-wifi-atx-am4-motherboard-strix-b550-xe-gaming-wifi,3,4.3
//cdna.pcpartpicker.com/static/forever/images/product/26c7bbab7b32ae78c245e9fc475a1a7a.256p.jpg,Asus ROG STRIX Z590-A GAMING WIFI,LGA1200,ATX,128,4,Silver / Black,317.45,https://es.pcpartpicker.com/product/pjcG3C/asus-rog-strix-z590-a-gaming-wifi-atx-lga1200-motherboard-rog-strix-z590-a-gaming-wifi,5,4.4
//cdna.pcpartpicker.com/static/forever/images/product/eef1bae4401bde37b0b7b0b6eee74ad3.256p.jpg,ASRock X99 Taichi,LGA2011-3,ATX,128,8,Black / White,315.41,https://es.pcpartpicker.com/product/FGPzK8/asrock-x99-taichi-atx-lga2011-3-motherboard-x99-taichi,5,4.6
//cdna.pcpartpicker.com/static/forever/images/product/8b092c216f7b1772a030e2fbd8de02a8.256p.jpg,Asus WS C246 PRO,LGA1151,ATX,64,4,Black / Silver,315.38,https://es.pcpartpicker.com/product/7KQG3C/asus-ws-c246-pro-atx-lga1151-motherboard-ws-c246-pro,2,5
https://images-na.ssl-images-amazon.com/images/I/61KaskM3IvL.jpg,MSI H170I Pro AC,LGA1151,Mini ITX,32,2,Black / White,315,https://es.pcpartpicker.com/product/gQ648d/msi-motherboard-h170iproac,4,4.5
//cdna.pcpartpicker.com/static/forever/images/product/5242ce48db07728c3e99ee5d821d4e3e.256p.jpg,MSI MPG Z590 GAMING FORCE,LGA1200,ATX,128,4,Black,314.89,https://es.pcpartpicker.com/product/cNQcCJ/msi-mpg-z590-gaming-force-atx-lga1200-motherboard-mpg-z590-gaming-force,3,4.3
//cdna.pcpartpicker.com/static/forever/images/product/cf20560e7e4a9e474fcb4c88238e4ffd.256p.jpg,MSI MAG B550 TOMAHAWK MAX WIFI,AM4,ATX,128,4,Silver / Black,309.98,https://es.pcpartpicker.com/product/MfZ9TW/msi-mag-b550-tomahawk-max-wifi-atx-am4-motherboard-mag-b550-tomahawk-max-wifi,5,4.8
//cdna.pcpartpicker.com/static/forever/images/product/c7bf181c3c8bfed7474232be75a1325b.256p.jpg,Gigabyte X570S AERO G,AM4,ATX,128,4,Black / White,309,https://es.pcpartpicker.com/product/f7pzK8/gigabyte-x570s-aero-g-atx-am4-motherboard-x570s-aero-g,4,4.5
//cdna.pcpartpicker.com/static/forever/images/product/3f9d9810e5da7dccec1e35cc3f83bdfb.256p.jpg,Gigabyte Z490 AORUS ELITE,LGA1200,ATX,128,4,Black / Silver,307.66,https://es.pcpartpicker.com/product/wgNgXL/gigabyte-z490-aorus-elite-atx-lga1200-motherboard-z490-aorus-elite,2,4.5
https://m.media-amazon.com/images/I/51H4YGEdH+L.jpg,MSI X299 RAIDER,LGA2066,ATX,128,8,Black / Silver,305.8,https://es.pcpartpicker.com/product/Bp648d/msi-x299-raider-atx-lga2066-motherboard-x299-raider,3,4.7
//cdna.pcpartpicker.com/static/forever/images/product/7d9f6150d4458e8b5e0eb8200817c963.256p.jpg,ASRock Z790M-ITX WIFI,LGA1700,Mini ITX,64,2,Black,302.32,https://es.pcpartpicker.com/product/vYM48d/asrock-z790m-itx-wifi-mini-itx-lga1700-motherboard-z790m-itx-wifi,2,5
//cdna.pcpartpicker.com/static/forever/images/product/8c900f476f493ac6c83b3ffc5c35500c.256p.jpg,ASRock Fatal1ty X370 Professional Gaming,AM4,ATX,64,4,Black / Red,301.08,https://es.pcpartpicker.com/product/GMQRsY/asrock-fatal1ty-x370-professional-gaming-atx-am4-motherboard-fatal1ty-x370-professional-gaming,2,5
//cdna.pcpartpicker.com/static/forever/images/product/ab5f3ec82862abac7ef258dae5b1b918.256p.jpg,NZXT N7-Z69XT-W1,LGA1700,ATX,128,4,White / Black,299.99,https://es.pcpartpicker.com/product/cZytt6/nzxt-n7-z69xt-w1-atx-lga1700-motherboard-n7-z69xt-w1,4,4.5
//cdna.pcpartpicker.com/static/forever/images/product/a8ecd765a4804a78ecadaaf356a23644.256p.jpg,ASRock Fatal1ty Z370 Gaming K6,LGA1151,ATX,64,4,Black / Silver,296.54,https://es.pcpartpicker.com/product/9pZ2FT/asrock-fatal1ty-z370-gaming-k6-atx-lga1151-motherboard-fatal1ty-z370-gaming-k6,2,4
//cdna.pcpartpicker.com/static/forever/images/product/d9514f6a0376cb65729f780c759de9e3.256p.jpg,Asus PRIME Z690-A,LGA1700,ATX,128,4,Silver / Black,289.96,https://es.pcpartpicker.com/product/VzWzK8/asus-prime-z690-a-atx-lga1700-motherboard-prime-z690-a,2,4
//cdna.pcpartpicker.com/static/forever/images/product/dc3885f711fcf1a1bb4fe3a92a4d31ca.256p.jpg,Gigabyte Z590 AORUS MASTER,LGA1200,ATX,128,4,Black,285.55,https://es.pcpartpicker.com/product/xr6p99/gigabyte-z590-aorus-master-atx-lga1200-motherboard-z590-aorus-master,3,5
//cdna.pcpartpicker.com/static/forever/images/product/cd6ae3e0e91dd460286893183daac81f.256p.jpg,Gigabyte Z690 AORUS ELITE AX,LGA1700,ATX,128,4,Black,281,https://es.pcpartpicker.com/product/JJRYcf/gigabyte-z690-aorus-elite-ax-atx-lga1700-motherboard-z690-aorus-elite-ax,4,4
//cdna.pcpartpicker.com/static/forever/images/product/c554e90d4fd5bacfcec80e716ee6b307.256p.jpg,ASRock Z590M-ITX/ax,LGA1200,Mini ITX,64,2,Silver / Black,280.51,https://es.pcpartpicker.com/product/RV6p99/asrock-z590m-itxax-mini-itx-lga1200-motherboard-z590m-itxax,2,5
//cdna.pcpartpicker.com/static/forever/images/product/896d25ea1d8ea692bf45a9e527dfb076.256p.jpg,ASRock X570 Phantom Gaming-ITX/TB3,AM4,Mini ITX,64,2,Black / Silver,277.66,https://es.pcpartpicker.com/product/FBmFf7/asrock-x570-phantom-gaming-itxtb3-mini-itx-am4-motherboard-x570-phantom-gaming-itxtb3,7,3.7
//cdna.pcpartpicker.com/static/forever/images/product/b114a7539486e8a860362aa759fe6c29.256p.jpg,MSI PRO Z790-P WIFI DDR4,LGA1700,ATX,128,4,Black / Silver,274.8,https://es.pcpartpicker.com/product/rLzhP6/msi-pro-z790-p-wifi-ddr4-atx-lga1700-motherboard-pro-z790-p-wifi-ddr4,2,5
//cdna.pcpartpicker.com/static/forever/images/product/a22733cc8b0dca99ebe441e3579c8c59.256p.jpg,MSI MEG Z490 ACE,LGA1200,ATX,128,4,Black / Gold,270.57,https://es.pcpartpicker.com/product/z6jNnQ/msi-meg-z490-ace-atx-lga1200-motherboard-meg-z490-ace,2,5
//cdna.pcpartpicker.com/static/forever/images/product/b78c8ffae8014b09e863e546ca36370e.256p.jpg,NZXT N7 Z490,LGA1200,ATX,128,4,Black,266.55,https://es.pcpartpicker.com/product/vQrYcf/nzxt-n7-z490-atx-lga1200-motherboard-n7-z49xt-b1,4,3.8
//cdna.pcpartpicker.com/static/forever/images/product/8ba97ee3dffbeb15bc7f27c76cde6acc.256p.jpg,Gigabyte X570S AORUS ELITE AX,AM4,ATX,128,4,Black / Silver,263.99,https://es.pcpartpicker.com/product/YdWzK8/gigabyte-x570s-aorus-elite-ax-atx-am4-motherboard-x570s-aorus-elite-ax,2,4.5
https://m.media-amazon.com/images/I/414smUZ+7dL.jpg,ASRock Z690M-ITX/ax,LGA1700,Mini ITX,64,2,Silver / Black,263.8,https://es.pcpartpicker.com/product/2PYmP6/asrock-z690m-itxax-mini-itx-lga1700-motherboard-z690m-itxax,5,4.2
//cdna.pcpartpicker.com/static/forever/images/product/ad306eea0d65b908af26a7cea096c634.256p.jpg,Asus TUF GAMING Z690-PLUS D4,LGA1700,ATX,128,4,Black / Silver,261.31,https://es.pcpartpicker.com/product/gk8bt6/asus-tuf-gaming-z690-plus-d4-atx-lga1700-motherboard-tuf-gaming-z690-plus-d4,2,5
//cdna.pcpartpicker.com/static/forever/images/product/9a893a5445108a083b1727bcd344b9c1.256p.jpg,MSI PRO Z690-A WIFI DDR4,LGA1700,ATX,128,4,Black / Silver,260.8,https://es.pcpartpicker.com/product/LWPQzy/msi-pro-z690-a-wifi-ddr4-atx-lga1700-motherboard-pro-z690-a-wifi-ddr4,9,4.7
//cdna.pcpartpicker.com/static/forever/images/product/7e88d61e11edcf3ec331a54fe8562cb0.256p.jpg,NZXT N7 B550,AM4,ATX,128,4,Black,260.7,https://es.pcpartpicker.com/product/QwzhP6/nzxt-n7-b550-atx-am4-motherboard-n7-b55xt-b1,9,4.6
//cdna.pcpartpicker.com/static/forever/images/product/266f6a8a3a4f191decc99a21f2479aca.256p.jpg,Gigabyte Z490I AORUS ULTRA,LGA1200,Mini ITX,64,2,Black / Silver,260.33,https://es.pcpartpicker.com/product/QPLwrH/gigabyte-z490i-aorus-ultra-mini-itx-lga1200-motherboard-z490i-aorus-ultra,4,4.8
https://m.media-amazon.com/images/I/51TSL-pmMOL.jpg,ASRock B550 PG Velocita,AM4,ATX,128,4,Silver / Black,259.89,https://es.pcpartpicker.com/product/ZPDkcf/asrock-b550-pg-velocita-atx-am4-motherboard-b550-pg-velocita,5,4.8
//cdna.pcpartpicker.com/static/forever/images/product/40299fd817e280269325b671d0830ca6.256p.jpg,MSI MPG B560I GAMING EDGE WIFI,LGA1200,Mini ITX,64,2,Black,256.63,https://es.pcpartpicker.com/product/pQ6p99/msi-mpg-b560i-gaming-edge-wifi-mini-itx-lga1200-motherboard-mpg-b560i-gaming-edge-wifi,9,4.6
//cdna.pcpartpicker.com/static/forever/images/product/d133ebca1d420765f0246e6ea6f96b50.256p.jpg,ASRock B560M Pro4,LGA1200,Micro ATX,128,4,Silver / Black,255.57,https://es.pcpartpicker.com/product/9BmmP6/asrock-b560m-pro4-micro-atx-lga1200-motherboard-b560m-pro4,7,4.4
//cdna.pcpartpicker.com/static/forever/images/product/1796254752a632d703fb5659e1647668.256p.jpg,Asus TUF Gaming Z590-PLUS WIFI,LGA1200,ATX,128,4,Silver / Black,255.44,https://es.pcpartpicker.com/product/hD8bt6/asus-tuf-gaming-z590-plus-wifi-atx-lga1200-motherboard-tuf-gaming-z590-plus-wifi,5,4.4
//cdna.pcpartpicker.com/static/forever/images/product/ad927ac5699f64e9266ff834207c330f.256p.jpg,Gigabyte B550 GAMING X,AM4,ATX,128,4,Black / Silver,255,https://es.pcpartpicker.com/product/R6VG3C/gigabyte-b550-gaming-x-atx-am4-motherboard-b550-gaming-x,5,4.8
https://m.media-amazon.com/images/I/514enNtofrL.jpg,MSI MAG X570S TOMAHAWK MAX WIFI,AM4,ATX,128,4,Black,252.99,https://es.pcpartpicker.com/product/9BGbt6/msi-mag-x570s-tomahawk-max-wifi-atx-am4-motherboard-mag-x570s-tomahawk-max-wifi,9,4.9
//cdna.pcpartpicker.com/static/forever/images/product/322a6059c413dd736536e5ad5c3a2285.256p.jpg,Gigabyte B650 AORUS ELITE AX,AM5,ATX,128,4,Black / Silver,252.79,https://es.pcpartpicker.com/product/WBwypg/gigabyte-b650-aorus-elite-ax-atx-am5-motherboard-b650-aorus-elite-ax,7,4.7
//cdna.pcpartpicker.com/static/forever/images/product/a9c75d4ec788d1f1c022a5f06f92eb4c.256p.jpg,Asus PRIME Z590-A,LGA1200,ATX,128,4,Silver / Black,252.31,https://es.pcpartpicker.com/product/fwVmP6/asus-prime-z590-a-atx-lga1200-motherboard-prime-z590-a,7,4.6
//cdna.pcpartpicker.com/static/forever/images/product/b92bb62d182daebc0d9f5494dd0b2b68.256p.jpg,MSI PRO Z690-A WIFI,LGA1700,ATX,128,4,Black / Silver,249.9,https://es.pcpartpicker.com/product/K9Fbt6/msi-pro-z690-a-wifi-atx-lga1700-motherboard-pro-z690-a-wifi,2,4
//cdna.pcpartpicker.com/static/forever/images/product/e1677ccd8b20b24c91fd17885a1b8b8a.256p.jpg,MSI MPG B550 GAMING EDGE WIFI,AM4,ATX,128,4,Black / Silver,249.37,https://es.pcpartpicker.com/product/2f4BD3/msi-mpg-b550-gaming-edge-wifi-atx-am4-motherboard-mpg-b550-gaming-edge-wifi,72,4.7
https://m.media-amazon.com/images/I/51lpQ5pvAxL.jpg,Asus TUF GAMING X570-PRO (WI-FI),AM4,ATX,128,4,Black / Gold,248.82,https://es.pcpartpicker.com/product/6jFKHx/asus-tuf-gaming-x570-pro-wi-fi-atx-am4-motherboard-tuf-gaming-x570-pro-wi-fi,28,4.6
