img_src,name,core_count,core_clock_GHz,boost_clock_GHz,tdp_W,integrated_graphics,price,link,socket,rating_number, rating
//cdna.pcpartpicker.com/static/forever/images/product/f7b07148337e7ce06429682d5c2c24d1.256p.jpg,Intel Core i5-760,4,2.8,,95,,345.83,https://es.pcpartpicker.com/product/R6zv6h/intel-cpu-bx80605i5760,LGA1156,3,5
//cdna.pcpartpicker.com/static/forever/images/product/c8944273cfc755a0b216001a90b9fba2.256p.jpg,Intel Core i7-12700,12,2.1,4.9,65,Intel UHD Graphics 770,348,https://es.pcpartpicker.com/product/XVRYcf/intel-core-i7-12700-21-ghz-12-core-processor-bx8071512700,LGA1700,5,4.6
//cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg,AMD Ryzen 9 5900X,12,3.7,4.8,105,,354.8,https://es.pcpartpicker.com/product/KwLwrH/amd-ryzen-9-5900x-37-ghz-12-core-processor-100-100000061wof,AM4,189,4.9
//cdna.pcpartpicker.com/static/forever/images/product/b69e4a2d3dd9f8fac9ed6bf1b631b0ce.256p.jpg,Intel Core i7-12700KF,12,3.6,5,125,,367.12,https://es.pcpartpicker.com/product/YDM48d/intel-core-i7-12700kf-36-ghz-8-core-processor-bx8071512700kf,LGA1700,20,5
//cdna.pcpartpicker.com/static/forever/images/product/87e7981e09217ef72534460e0cf767b8.256p.jpg,Intel Core i7-4790,4,3.6,4,84,Intel HD Graphics 4600,369,https://es.pcpartpicker.com/product/94MTwP/intel-core-i7-4790-36-ghz-quad-core-oemtray-processor-cm8064601560113, LGA1150,2,5
//cdna.pcpartpicker.com/static/forever/images/product/3f7037db801def4db8418df8e7498e6a.256p.jpg,Intel Core i7-12700K,12,3.6,5,125,Intel UHD Graphics 770,370.79,https://es.pcpartpicker.com/product/ZbddnQ/intel-core-i7-12700k-36-ghz-8-core-processor-bx8071512700k,LGA1700,79,4.9
//cdna.pcpartpicker.com/static/forever/images/product/b501d68b041d6f48bc11c402012d59cb.256p.jpg,Intel Core i9-10900K,10,3.7,5.3,125,Intel UHD Graphics 630,373.57,https://es.pcpartpicker.com/product/cwFKHx/intel-core-i9-10900k-37-ghz-10-core-processor-bx8070110900k,LGA1200,46,4.8
//cdna.pcpartpicker.com/static/forever/images/product/02b522d67f1855b6e2916d800eb38bcf.256p.jpg,Intel Core i9-10900KF,10,3.7,5.3,125,,375.29,https://es.pcpartpicker.com/product/CT3mP6/intel-core-i9-10900kf-37-ghz-10-core-processor-bx8070110900kf,LGA1200,9,4.9
//cdna.pcpartpicker.com/static/forever/images/product/2c0e54afceb3b128eef552ffa7b488ee.256p.jpg,Intel Core i9-10900,10,2.8,5.2,65,Intel UHD Graphics 630,379.77,https://es.pcpartpicker.com/product/wW7p99/intel-core-i9-10900-28-ghz-10-core-processor-bx8070110900,LGA1200,3,4.7
//cdna.pcpartpicker.com/static/forever/images/product/a1466e1823404679892cb38473e6c5fd.256p.jpg,Intel Core i7-4930K,6,3.4,3.9,130,,385,https://es.pcpartpicker.com/product/pvphP6/intel-cpu-bx80633i74930k,LGA2011,45,4.9
