img_src,name,capacity,price/GB,type,cache,form_factor,interface,price,link,rating_number,rating
//cdna.pcpartpicker.com/static/forever/images/product/d88063901480d72b21b7d19f0fd87cef.256p.jpg,Seagate SkyHawk AI,8 TB,0.055,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,441.78,https://es.pcpartpicker.com/product/k76qqs/seagate-skyhawk-ai-8-tb-35-7200rpm-internal-hard-drive-st8000ve000,1,5
,Seagate Barracuda ES.2,500 GB,0.879,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,439.59,https://es.pcpartpicker.com/product/hg2kcf/seagate-barracuda-es2-500-gb-35-7200rpm-internal-hard-drive-st3500320ns,1,2
//cdna.pcpartpicker.com/static/forever/images/product/b484ce2403f1f6061b0099f885a8d5b5.256p.jpg,Seagate IronWolf NAS,10 TB,0.042,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,421.99,https://es.pcpartpicker.com/product/wbsmP6/seagate-ironwolf-10-tb-35-7200rpm-internal-hard-drive-st10000vn0008,1,5
https://m.media-amazon.com/images/I/31OUniJjN+L.jpg,Samsung 860 Evo,2 TB,0.202,SSD,2048 MB,"2.5""",SATA 6.0 Gb/s,404.51,https://es.pcpartpicker.com/product/dQ66Mp/samsung-860-evo-2tb-25-solid-state-drive-mz-76e2t0bam,32,4.9
//cdna.pcpartpicker.com/static/forever/images/product/7c11d9a87a4c27be38eb13ff580c6b9e.256p.jpg,ADATA XPG SPECTRIX S40G RGB,4 TB,0.101,SSD,,M.2,M.2 PCIe 3.0 X4,404.17,https://es.pcpartpicker.com/product/kFgFf7/adata-xpg-spectrix-s40g-rgb-4-tb-m2-2280-nvme-solid-state-drive-as40g-4tt-c,3,5
https://m.media-amazon.com/images/I/414vkgHqtnL.jpg,Intel X25-M,160 GB,2.522,SSD,,"2.5""",SATA 3.0 Gb/s,403.52,https://es.pcpartpicker.com/product/CTckcf/intel-internal-hard-drive-ssdsa2mh160g2k5,2,4
https://images-na.ssl-images-amazon.com/images/I/41UoQ8svM%2BL.jpg,Intel DC S3700,800 GB,0.5,SSD,,"2.5""",SATA 6.0 Gb/s,400,https://es.pcpartpicker.com/product/7Ndqqs/intel-internal-hard-drive-ssdsc2ba800g301,1,5
//cdna.pcpartpicker.com/static/forever/images/product/87a48432dd21089fa338cb7e0e660ea5.256p.jpg,Intel Intel SSD SSDPEKKW512G801 760p 512GB M.2 80mm PCI Express 3D2 TLC Generic Single Box,512 GB,0.781,SSD,,M.2,M.2 PCIe 3.0 X4,400,https://es.pcpartpicker.com/product/NmqBD3/intel-760p-512-gb-m2-2280-nvme-solid-state-drive-ssdpekkw512g801,1,3
//cdna.pcpartpicker.com/static/forever/images/product/867a8b3d0767e053dafdc9da1c2f4f62.256p.jpg,Seagate IronWolf NAS,16 TB,0.025,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,399.99,https://es.pcpartpicker.com/product/RNkj4D/seagate-ironwolf-16-tb-35-7200rpm-internal-hard-drive-st16000vn001,1,5
https://m.media-amazon.com/images/I/51YwVkwsfnL.jpg,Hitachi 7K1000.B,640 GB,0.622,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,398,https://es.pcpartpicker.com/product/pt2kcf/hitachi-internal-hard-drive-hdt721064sla360,1,5
