img_src,name,type,color,side_panel,price,link,rating_number,rating
//cdna.pcpartpicker.com/static/forever/images/product/39166e47f3aff14ffeb9e3239d413a10.256p.jpg,Zalman S3,ATX Mid ,Black,Acrylic,66.45,https://es.pcpartpicker.com/product/TJrmP6/zalman-s3-atx-mid-tower-case-s3,2,5
//cdna.pcpartpicker.com/static/forever/images/product/d943180ff1f760a363931866169d1889.256p.jpg,Fractal Design Core 2500,ATX Mid ,Black,,67.81,https://es.pcpartpicker.com/product/wZx9TW/fractal-design-case-fdcacore2500bl,3,3.3
//cdna.pcpartpicker.com/static/forever/images/product/b7953c88e1423a9a2594aae474291664.256p.jpg,Cooler Master MasterBox E300L,MicroATX Mini ,Black / Silver,,68,https://es.pcpartpicker.com/product/94w7YJ/cooler-master-masterbox-e300l-microatx-mini-tower-case-mcb-e300l-kn5n-b02,2,4.5
//cdna.pcpartpicker.com/static/forever/images/product/8f056bfc6d92a3be0c3f1687225658a4.256p.jpg,Thermaltake Versa H25,ATX Mid ,Black,,68.17,https://es.pcpartpicker.com/product/rTwqqs/thermaltake-case-ca1c200m1nn00,3,4.3
//cdna.pcpartpicker.com/static/forever/images/product/f4251340d913aa4214fc6f6e0767839c.256p.jpg,Fractal Design Focus G Mini,MicroATX Mini ,Black,Acrylic,69.06,https://es.pcpartpicker.com/product/vPp323/fractal-design-focus-g-mini-black-microatx-mini-tower-case-fd-ca-focus-mini-bk-w,27,4.4
//cdna.pcpartpicker.com/static/forever/images/product/ad14bb51fb6ffea8326cf27df08fdd7d.256p.jpg,Cooler Master MasterBox MB510L,ATX Mid ,Black / Red,Acrylic,69.45,https://es.pcpartpicker.com/product/RVfhP6/cooler-master-masterbox-mb510l-atx-mid-tower-case-mcb-b510l-kann-s00,6,4.5
https://m.media-amazon.com/images/I/41qNxc7ApVL.jpg,Deepcool MATREXX 55 MESH,ATX Mid ,Black,Tempered Glass,69.8,https://es.pcpartpicker.com/product/b9tKHx/deepcool-matrexx-55-mesh-atx-mid-tower-case-dp-atx-matrexx55-mesh,6,4
//cdna.pcpartpicker.com/static/forever/images/product/3d54051e45ebef8a6c54fbf92005b0ee.256p.jpg,Fractal Design Core 1100,MicroATX Mini ,Black,,69.8,https://es.pcpartpicker.com/product/TkkD4D/fractal-design-case-fdcacore1100bl,19,3.7
//cdna.pcpartpicker.com/static/forever/images/product/3dcf400277143ca9a8f823f6df9f526b.256p.jpg,Thermaltake Core V1,Mini ITX Desktop,Black,,69.8,https://es.pcpartpicker.com/product/fGvRsY/thermaltake-case-ca1b800s1wn00,111,4.7
https://m.media-amazon.com/images/I/31llI+QTrJL.jpg,Thermaltake Versa H21,ATX Mid ,Black,,69.84,https://es.pcpartpicker.com/product/c67wrH/thermaltake-case-ca1b200m1nn00,14,4.2
//cdna.pcpartpicker.com/static/forever/images/product/8cd892b6333f7859340a07d1cb5878a9.256p.jpg,KOLINK Citadel Mesh RGB,MicroATX Mini ,White,Tempered Glass,69.9,https://es.pcpartpicker.com/product/G8QcCJ/kolink-citadel-mesh-rgb-microatx-mini-tower-case-citadel-mesh-rgb-white,1,5
https://m.media-amazon.com/images/I/51j7WlQLAlL.jpg,Thermaltake Versa H21,ATX Mid ,Black,Acrylic,70,https://es.pcpartpicker.com/product/bqxfrH/thermaltake-case-ca1b200m1wn00,4,3.2
//cdna.pcpartpicker.com/static/forever/images/product/66fe69a12efcd3b662b9e930a67a2fac.256p.jpg,Cooler Master MasterCase H100 ARGB,Mini ITX Desktop,Black,,70.03,https://es.pcpartpicker.com/product/7XqBD3/cooler-master-mastercase-h100-argb-mini-itx-desktop-case-mcm-h100-kann-s01,1,4
//cdna.pcpartpicker.com/static/forever/images/product/222fff24979867e9be65c0a955302938.256p.jpg,CiT Seven,MicroATX Mid ,Black,Acrylic,70.2,https://es.pcpartpicker.com/product/MxPgXL/cit-seven-microatx-mid-tower-case-cit-seven,1,3
https://m.media-amazon.com/images/I/41FxqCgE0-L.jpg,Zalman S2,ATX Mid ,Black,Tempered Glass,70.7,https://es.pcpartpicker.com/product/P9snTW/zalman-s2-atx-mid-tower-case-s2-tg,1,4
//cdna.pcpartpicker.com/static/forever/images/product/50ac7f1d559f29d64bb3c292bc721d5b.256p.jpg,Corsair Carbide Series SPEC-01,ATX Mid ,Black,Acrylic,70.97,https://es.pcpartpicker.com/product/pDphP6/corsair-case-spec01redled,97,4.1
//cdna.pcpartpicker.com/static/forever/images/product/56a5648cd74b0ead69bbd7de8a367f1c.256p.jpg,KOLINK Citadel Mesh,MicroATX Mini ,Black,Tempered Glass,71,https://es.pcpartpicker.com/product/NMC48d/kolink-citadel-mesh-microatx-mini-tower-case-citadel-mesh,3,4.3
//cdna.pcpartpicker.com/static/forever/images/product/2c01e4734ff9b282d460d445fc2efa72.256p.jpg,Silverstone ML05B,HTPC,Black,,71.25,https://es.pcpartpicker.com/product/J7mLrH/silverstone-case-ml05b,5,4.6
https://m.media-amazon.com/images/I/515dPNIn7tL.jpg,Thermaltake Versa H22,ATX Mid ,Black,Acrylic,71.61,https://es.pcpartpicker.com/product/Xm4gXL/thermaltake-case-ca1b300m1wn00,1,5
